sta,net,lat,lon,ele,loc,chan,start,end,a,b,c,d
NSS01,TW,23.7959,120.9369,379,"S.Central Range, NSS01",HHE,2008-02-18T00:00:00Z,2008-03-25T00:04:15Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS01,TW,23.7959,120.9369,379,"S.Central Range, NSS01",HHN,2008-02-18T00:00:00Z,2008-03-25T00:04:20Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS01,TW,23.7959,120.9369,379,"S.Central Range, NSS01",HHZ,2008-02-18T00:00:00Z,2008-03-25T00:04:22Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS02,TW,23.7707,120.881,936,"S.Central Range, NSS02",BHE,2008-02-21T00:00:00Z,2008-03-21T01:10:01Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS02,TW,23.7707,120.881,936,"S.Central Range, NSS02",BHN,2008-02-21T00:00:00Z,2008-03-21T01:09:46Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS02,TW,23.7707,120.881,936,"S.Central Range, NSS02",BHZ,2008-02-21T00:00:00Z,2008-03-21T01:09:40Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS02,TW,23.7707,120.881,936,"S.Central Range, NSS02",HHE,2008-02-21T00:00:00Z,2008-03-21T01:10:55Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS02,TW,23.7707,120.881,936,"S.Central Range, NSS02",HHN,2008-02-21T00:00:00Z,2008-03-21T01:10:54Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS02,TW,23.7707,120.881,936,"S.Central Range, NSS02",HHZ,2008-02-21T00:00:00Z,2008-03-21T01:10:48Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS03,TW,23.7202,120.8458,493,"S.Central Range, NSS03",HHE,2008-02-23T00:00:00Z,2008-03-25T00:00:53Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS03,TW,23.7202,120.8458,493,"S.Central Range, NSS03",HHN,2008-02-23T00:00:00Z,2008-03-25T00:00:53Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS03,TW,23.7202,120.8458,493,"S.Central Range, NSS03",HHZ,2008-02-23T00:00:00Z,2008-03-25T00:00:58Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS04,TW,23.6362,120.8778,688,"S.Central Range, NSS04",HHE,2008-01-29T00:00:00Z,2008-03-21T01:48:12Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS04,TW,23.6362,120.8778,688,"S.Central Range, NSS04",HHN,2008-01-29T00:00:00Z,2008-03-21T01:48:12Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS04,TW,23.6362,120.8778,688,"S.Central Range, NSS04",HHZ,2008-01-29T00:00:00Z,2008-03-21T01:48:11Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS05,TW,23.5735,120.8859,1326,"S.Central Range, NSS05",HHE,2008-01-29T00:00:00Z,2008-03-10T00:00:00Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS05,TW,23.5735,120.8859,1326,"S.Central Range, NSS05",HHN,2008-01-29T00:00:00Z,2008-03-25T00:00:42Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS05,TW,23.5735,120.8859,1326,"S.Central Range, NSS05",HHZ,2008-01-29T00:00:00Z,2008-03-10T00:00:00Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS06,TW,23.53,120.8488,1207,"S.Central Range, NSS06",BHE,2008-01-29T00:00:00Z,2008-03-11T01:51:49Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS06,TW,23.53,120.8488,1207,"S.Central Range, NSS06",BHN,2008-01-29T00:00:00Z,2008-03-11T01:51:49Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS06,TW,23.53,120.8488,1207,"S.Central Range, NSS06",BHZ,2008-01-29T00:00:00Z,2008-03-11T01:51:49Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS06,TW,23.53,120.8488,1207,"S.Central Range, NSS06",HHE,2008-01-29T00:00:00Z,2008-03-11T01:51:49Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS06,TW,23.53,120.8488,1207,"S.Central Range, NSS06",HHN,2008-01-29T00:00:00Z,2008-03-11T01:51:49Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS06,TW,23.53,120.8488,1207,"S.Central Range, NSS06",HHZ,2008-01-29T00:00:00Z,2008-03-11T01:51:49Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS07,TW,23.4781,120.8295,2237,"S.Central Range, NSS07",HHE,2008-01-29T00:00:00Z,2008-03-25T00:00:49Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS07,TW,23.4781,120.8295,2237,"S.Central Range, NSS07",HHN,2008-01-29T00:00:00Z,2008-03-25T00:00:49Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS07,TW,23.4781,120.8295,2237,"S.Central Range, NSS07",HHZ,2008-01-29T00:00:00Z,2008-03-25T00:00:52Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS08,TW,23.4566,120.7432,949,"S.Central Range, NSS08",HHE,2008-01-30T00:00:00Z,2008-03-18T02:25:24Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS08,TW,23.4566,120.7432,949,"S.Central Range, NSS08",HHN,2008-01-30T00:00:00Z,2008-03-18T02:25:24Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS08,TW,23.4566,120.7432,949,"S.Central Range, NSS08",HHZ,2008-01-30T00:00:00Z,2008-03-18T02:25:24Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS09,TW,23.4076,120.712,1100,"S.Central Range, NSS09",BHE,2008-01-24T00:00:00Z,2008-03-17T23:23:10Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS09,TW,23.4076,120.712,1100,"S.Central Range, NSS09",BHN,2008-01-24T00:00:00Z,2008-03-17T23:26:01Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS09,TW,23.4076,120.712,1100,"S.Central Range, NSS09",BHZ,2008-01-24T00:00:00Z,2008-03-17T23:25:52Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS09,TW,23.4076,120.712,1100,"S.Central Range, NSS09",HHE,2008-01-24T00:00:00Z,2008-03-17T23:50:24Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS09,TW,23.4076,120.712,1100,"S.Central Range, NSS09",HHN,2008-01-24T00:00:00Z,2008-03-17T23:26:08Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS09,TW,23.4076,120.712,1100,"S.Central Range, NSS09",HHZ,2008-01-24T00:00:00Z,2008-03-17T23:25:56Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS10,TW,23.3454,120.697,834,"S.Central Range, NSS10",HHE,2008-01-30T00:00:00Z,2008-03-21T01:03:38Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS10,TW,23.3454,120.697,834,"S.Central Range, NSS10",HHN,2008-01-30T00:00:00Z,2008-03-21T01:03:37Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS10,TW,23.3454,120.697,834,"S.Central Range, NSS10",HHZ,2008-01-30T00:00:00Z,2008-03-21T01:03:38Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS11,TW,23.2979,120.6838,797,"S.Central Range, NSS11",HHE,2008-01-30T00:00:00Z,2008-03-25T00:03:48Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS11,TW,23.2979,120.6838,797,"S.Central Range, NSS11",HHN,2008-01-30T00:00:00Z,2008-03-25T00:03:54Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS11,TW,23.2979,120.6838,797,"S.Central Range, NSS11",HHZ,2008-01-30T00:00:00Z,2008-03-25T00:03:48Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS12,TW,23.2425,120.6895,575,"S.Central Range, NSS12",BHE,2008-01-25T00:00:00Z,2008-03-21T01:23:43Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS12,TW,23.2425,120.6895,575,"S.Central Range, NSS12",BHN,2008-01-25T00:00:00Z,2008-03-21T01:22:22Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS12,TW,23.2425,120.6895,575,"S.Central Range, NSS12",BHZ,2008-01-25T00:00:00Z,2008-03-21T01:22:35Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS12,TW,23.2425,120.6895,575,"S.Central Range, NSS12",HHE,2008-01-25T00:00:00Z,2008-03-21T01:24:41Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS12,TW,23.2425,120.6895,575,"S.Central Range, NSS12",HHN,2008-01-25T00:00:00Z,2008-03-21T01:24:27Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS12,TW,23.2425,120.6895,575,"S.Central Range, NSS12",HHZ,2008-01-25T00:00:00Z,2008-03-21T01:24:27Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS13,TW,23.1977,120.6436,435,"S.Central Range, NSS13",HHE,2008-01-30T00:00:00Z,2008-03-25T00:00:19Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS13,TW,23.1977,120.6436,435,"S.Central Range, NSS13",HHN,2008-01-30T00:00:00Z,2008-03-25T00:00:21Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS13,TW,23.1977,120.6436,435,"S.Central Range, NSS13",HHZ,2008-01-30T00:00:00Z,2008-03-25T00:00:21Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS14,TW,23.1487,120.6236,415,"S.Central Range, NSS14",HHE,2008-01-20T00:00:00Z,2007-12-27T00:34:18Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS14,TW,23.1487,120.6236,415,"S.Central Range, NSS14",HHN,2008-01-20T00:00:00Z,2007-12-27T00:34:20Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS14,TW,23.1487,120.6236,415,"S.Central Range, NSS14",HHZ,2008-01-20T00:00:00Z,2007-12-27T00:34:20Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS15,TW,23.1068,120.5934,296,"S.Central Range, NSS15",BHE,2008-01-30T00:00:00Z,2008-03-18T00:36:36Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS15,TW,23.1068,120.5934,296,"S.Central Range, NSS15",BHN,2008-01-30T00:00:00Z,2008-03-18T00:36:15Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS15,TW,23.1068,120.5934,296,"S.Central Range, NSS15",BHZ,2008-01-30T00:00:00Z,2008-03-18T00:34:05Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS15,TW,23.1068,120.5934,296,"S.Central Range, NSS15",HHE,2008-01-30T00:00:00Z,2008-03-18T00:37:06Z,0,90,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS15,TW,23.1068,120.5934,296,"S.Central Range, NSS15",HHN,2008-01-30T00:00:00Z,2008-03-18T00:37:04Z,0,0,0,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS15,TW,23.1068,120.5934,296,"S.Central Range, NSS15",HHZ,2008-01-30T00:00:00Z,2008-03-18T00:36:57Z,0,0,-90,Nanometrics Trillium 40 Sec Response/Quanterra 330
NSS16,TW,23.062,120.5592,238,"S.Central Range, NSS16",HHE,2008-03-03T00:00:00Z,2008-03-25T00:05:30Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS16,TW,23.062,120.5592,238,"S.Central Range, NSS16",HHN,2008-03-03T00:00:00Z,2008-03-25T00:05:34Z,0,0,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS16,TW,23.062,120.5592,238,"S.Central Range, NSS16",HHZ,2008-03-03T00:00:00Z,2008-03-25T00:05:34Z,0,0,-90,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
NSS17,TW,23.0032,120.5438,174,"S.Central Range, NSS17",HHE,2008-01-30T00:00:00Z,2008-03-18T03:05:23Z,0,90,0,Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger
